hotel_name,reg,state,types,cus_name,phone_no,emel,customer_rating,membership,payment_method,resv_status,meal,assgn_room,cus_seg,room_type,adult,(child),dis_channel,price,nights,package_,gross,disc,disc_amt,sales,dep,d_s,arrival_date,depature_date,ADR,Sales Person,pos,comm_pay,customer_review
"Lexis Suites, Penang",North,Penang,City Hotel,Priscilla Collins PhD,833088707898,PhD.Priscilla74@att.com,5,Platinum,Credit Card,Check0Out,BB,E,Individual,Deluxe Room,2,0,Direct,650,15,600,9.750,10%,975,9.375,300,Refunded,12/9/2024,27/9/2024,123,Derek,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Laurie Smith,804038304080,Smith.Laurie@att.com,2,Gold,Credit Card,Check0Out,HB,D,Family,Single Room,1,2,Agoda,550,2,120,1.100,5%,55,1.165,300,Refunded,29/3/2024,31/3/2024,145,Leo,Sales Manager,15,Poor
"Lexis Suites, Penang",North,Penang,City Hotel,Casey Thomas,211007102173,Casey_T78@outlook.com,5,Gold,Credit Card,Check0Out,BB,E,Corporate,Deluxe Room,3,0,Booking.com,650,14,840,9.100,5%,455,9.485,300,Refunded,14/8/2024,28/8/2024,97,Kelly,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Rachel Friedman,435007508409,Rachel.F@protonmail.com,5,Platinum,Cash,Check0Out,HB,G,Individual,Deluxe Room,2,0,Agoda,650,10,400,6.500,10%,650,6.250,300,Refunded,3/9/2024,13/9/2024,"154,77",Amy,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Edward Torres,790074607471,Edward.T@zoho.com,5,N/A,Credit Card,Check0Out,BB,E,Individual,Deluxe Room,2,0,Direct,650,5,200,3.250,0%,0,3.450,300,Refunded,8/1/2024,13/1/2024,"94,71",Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Samuel Zavala,649038405387,Zavala_Samuel46@xfinity.com,5,Gold,Online Transfer,Check0Out,BB,E,Family,Royal Suite,3,4,Direct,1.800,4,560,7.200,5%,360,7.400,300,Refunded,12/4/2024,16/4/2024,97,Amy,Sales Executive,30,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Dr. Victor Martin,331043008824,Dr.Martin@xfinity.com,5,Gold,Cash,Check0Out,BB,E,Individual,Deluxe Room,2,0,Agoda,650,13,520,8.450,5%,423,8.548,300,Refunded,5/11/2024,18/11/2024,"97,5",Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Sara Lee,573030609938,Sara.L@hotmail.com,5,Platinum,Cash,Check0Out,BB,E,Corporate,Single Room,1,0,Direct,550,8,160,4.400,10%,440,4.120,300,Refunded,13/7/2024,21/7/2024,"88,2",Derek,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Curtis Rodriguez,466042402102,CRodriguez@verizon.com,4,Platinum,Credit Card,Check0Out,BB,G,Individual,Deluxe Room,2,0,Booking.com,650,9,360,5.850,10%,585,5.625,300,Refunded,21/3/2024,30/3/2024,"107,42",Leo,Sales Manager,20,Very Good
"Lexis Suites, Penang",North,Penang,City Hotel,Stephanie Schmidt,896064201049,StephanieSchmidt@hotmail.com,5,Platinum,Online Transfer,Check0Out,BB,G,Family,Single Room,1,2,Direct,550,15,900,8.250,10%,825,8.325,300,Refunded,3/3/2024,18/3/2024,153,Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,John Matthews,952049604398,John.Matthews@aol.com,4,Platinum,Credit Card,Check0Out,BB,F,Corporate,Single Room,1,0,Agoda,550,16,320,8.800,10%,880,8.240,300,Refunded,5/7/2024,21/7/2024,"97,29",Amy,Sales Executive,15,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Robert Chung,382046506552,Robert.Chung47@yandex.com,5,Platinum,Cash,Check0Out,BB,A,Individual,Deluxe Room,2,0,Booking.com,650,16,640,10.400,10%,1.040,10.000,300,Refunded,9/2/2024,25/2/2024,"84,67",Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Mark Garcia,784067504921,MGarcia16@comcast.net,5,Platinum,Credit Card,Check0Out,BB,A,Individual,Single Room,2,0,Direct,550,14,560,7.700,10%,770,7.490,300,Refunded,14/7/2024,28/7/2024,"84,67",Amy,Sales Executive,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Brandon Taylor,227032907167,BrandonTaylor@hotmail.com,5,Gold,Online Transfer,Check0Out,BB,D,Family,Single Room,1,2,Direct,550,16,960,8.800,5%,440,9.320,300,Refunded,11/3/2024,27/3/2024,"99,67",Leo,Sales Manager,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Angie Sanchez,211088902476,Angie_Sanchez@att.com,4,Platinum,Credit Card,Check0Out,HB,I,Corporate,Deluxe Room,3,0,Direct,650,11,660,7.150,10%,715,7.095,300,Refunded,12/8/2024,23/8/2024,"94,95",Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Alexis King,103051605853,King_Alexis70@hotmail.com,5,Gold,Credit Card,Check0Out,BB,D,Individual,Deluxe Room,2,0,Booking.com,650,4,160,2.600,5%,130,2.630,300,Refunded,31/5/2024,4/6/2024,"63,6",Bernice,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Michael Davidson,336052502460,MichaelDavidson82@att.com,5,N/A,Online Transfer,Check0Out,BB,D,Individual,Deluxe Room,2,0,Agoda,650,1,40,650,0%,0,690,300,Refunded,7/4/2024,8/4/2024,"79,5",Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Jaime Flynn,549086603721,JaimeFlynn29@gmail.com,4,Gold,Online Transfer,Check0Out,BB,E,Family,Studio,2,2,Direct,1.650,2,160,3.300,5%,165,3.295,300,Refunded,18/1/2024,20/1/2024,107,Derek,Sales Executive,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Mrs. Alicia Williams,427056404927,Mrs..W61@yandex.com,5,Platinum,Credit Card,Check0Out,BB,A,Corporate,Deluxe Room,3,0,Booking.com,650,8,480,5.200,10%,520,5.160,300,Refunded,2/1/2024,10/1/2024,94,Derek,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Heather Hart,431032906663,Heather.H@xfinity.com,5,N/A,Credit Card,Check0Out,BB,D,Corporate,Single Room,1,0,Booking.com,550,6,120,3.300,0%,0,3.420,300,Refunded,10/11/2024,16/11/2024,"87,3",Derek,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Diamond Wilson,870056306202,Wilson.Diamond@comcast.net,4,N/A,Online Transfer,Check0Out,BB,A,Corporate,Deluxe Room,3,0,Agoda,650,6,360,3.900,0%,0,4.260,300,Refunded,27/6/2024,3/7/2024,62,Amy,Sales Executive,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Paul Williams,789073608837,Williams_Paul@xfinity.com,5,Platinum,Online Transfer,Check0Out,BB,D,Family,Single Room,1,2,Direct,550,11,660,6.050,10%,605,6.105,300,Refunded,25/2/2024,7/3/2024,"63,86",Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Reginald Cunningham,800024902144,Reginald_C57@outlook.com,5,Platinum,Cash,Check0Out,BB,E,Corporate,Single Room,1,0,Booking.com,550,8,160,4.400,10%,440,4.120,300,Refunded,11/11/2024,19/11/2024,"108,3",Leo,Sales Manager,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Willie Sims,790083007635,Willie_S@yahoo.com,5,Platinum,Credit Card,Check0Out,BB,C,Corporate,Single Room,1,0,Booking.com,550,8,160,4.400,10%,440,4.120,300,Refunded,13/11/2024,21/11/2024,"65,5",Leo,Sales Manager,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Alex Brown,956073701944,Alex.B@zoho.com,5,Gold,Credit Card,Check0Out,BB,D,Family,Deluxe Room,2,2,Agoda,650,4,320,2.600,5%,130,2.790,300,Refunded,10/12/2024,14/12/2024,"108,8",Amy,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Virginia Holden,734048009929,Virginia.H@aol.com,3,Platinum,Credit Card,Check0Out,BB,D,Family,Single Room,1,1,Booking.com,550,11,440,6.050,10%,605,5.885,300,Refunded,8/4/2024,19/4/2024,"108,8",Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,John Smith,624096503392,John_Smith@xfinity.com,4,Platinum,Cash,Check0Out,BB,C,Individual,Deluxe Room,2,0,Direct,650,16,640,10.400,10%,1.040,10.000,300,Forfeited,26/10/2024,11/11/2024,98,Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Jennifer Barton,902079208048,JBarton@hotmail.com,4,Gold,Cash,Check0Out,BB,D,Individual,Deluxe Room,2,0,Booking.com,650,5,200,3.250,5%,163,3.288,300,Refunded,19/9/2024,24/9/2024,"108,8",Derek,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Richard Holt,517042006344,Richard.Holt@hotmail.com,5,Platinum,Cash,Check0Out,BB,D,Corporate,Single Room,1,0,Booking.com,550,12,240,6.600,10%,660,6.180,300,Refunded,10/10/2024,22/10/2024,"108,8",Leo,Sales Manager,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Amy Green,858020804589,Amy.Green56@gmail.com,5,Gold,Cash,Check0Out,HB,E,Family,Deluxe Room,3,1,Booking.com,650,1,80,650,5%,33,698,300,Refunded,28/6/2024,29/6/2024,137,Derek,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Kimberly Perez,320061503590,Perez.Kimberly84@hotmail.com,5,Platinum,Cash,Check0Out,BB,G,Family,Deluxe Room,2,1,Direct,650,16,960,10.400,10%,1.040,10.320,300,Refunded,15/9/2024,1/10/2024,"117,81",Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Carly Armstrong,521078403601,CArmstrong@mail.com,4,Gold,Credit Card,Check0Out,BB,D,Individual,Deluxe Room,2,0,Booking.com,650,7,280,4.550,5%,228,4.603,300,Refunded,10/3/2024,17/3/2024,"79,5",Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Scott Hammond,632010808350,ScottHammond41@verizon.com,5,Gold,Cash,Check0Out,BB,F,Individual,Deluxe Room,3,0,Booking.com,650,15,900,9.750,5%,488,10.163,300,Refunded,26/4/2024,11/5/2024,123,Derek,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Debra Fuller,229013403710,Debra.Fuller@protonmail.com,4,N/A,Online Transfer,Check0Out,HB,E,Family,Single Room,1,2,Booking.com,550,10,600,5.500,0%,0,6.100,300,Refunded,13/1/2024,23/1/2024,137,Derek,Sales Executive,15,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Rachel Davis,549026102558,RachelDavis@mail.com,5,Platinum,Online Transfer,Check0Out,BB,A,Individual,Deluxe Room,3,0,Direct,650,15,900,9.750,10%,975,9.675,300,Refunded,30/6/2024,15/7/2024,"110,7",Bernice,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Michael Mccormick,380083009585,Mccormick.Michael19@aol.com,5,Platinum,Cash,Check0Out,BB,G,Individual,Deluxe Room,3,0,Direct,650,7,420,4.550,10%,455,4.515,300,Refunded,18/10/2024,25/10/2024,153,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Ann Sullivan,947057703720,AnnSullivan@att.com,3,Platinum,Credit Card,Check0Out,BB,A,Individual,Deluxe Room,3,0,Agoda,650,13,780,8.450,10%,845,8.385,300,Refunded,2/7/2024,15/7/2024,"58,95",Bernice,Sales Executive,20,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Rachel Wallace,870098802775,Rachel_W79@xfinity.com,3,Gold,Credit Card,Check0Out,BB,E,Family,Deluxe Room,2,1,Agoda,650,11,660,7.150,5%,358,7.453,300,Refunded,8/5/2024,19/5/2024,"82,88",Bernice,Sales Executive,20,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Carla Ferguson,724091008709,Carla_Ferguson@att.com,3,Gold,Credit Card,Check0Out,HB,B,Corporate,Single Room,1,0,Agoda,550,8,160,4.400,5%,220,4.340,300,Refunded,21/1/2024,29/1/2024,"82,35",Amy,Sales Executive,15,Good
"Lexis Suites, Penang",North,Penang,City Hotel,Greg Hardin,488064603204,Hardin_Greg@gmail.com,5,Gold,Cash,Check0Out,HB,F,Individual,Deluxe Room,2,0,Direct,650,15,600,9.750,5%,488,9.863,300,Refunded,20/9/2024,5/10/2024,"119,35",Amy,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Rachel Ho,338017306502,Ho_Rachel74@aol.com,5,N/A,Cash,Check0Out,BB,D,Corporate,Deluxe Room,3,0,Direct,650,3,180,1.950,0%,0,2.130,300,Refunded,5/7/2024,8/7/2024,"67,58",Bernice,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Elizabeth Joseph,625061309890,Joseph_Elizabeth@yandex.com,5,Gold,Cash,Check0Out,BB,A,Family,Studio,3,2,Direct,1.650,16,1.600,26.400,5%,1.320,26.680,300,Refunded,21/3/2024,6/4/2024,"56,01",Leo,Sales Manager,25,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Stephen Brown,154011509953,Stephen.Brown@att.com,4,Platinum,Credit Card,Check0Out,BB,D,Corporate,Deluxe Room,3,0,Agoda,650,3,180,1.950,10%,195,1.935,300,Refunded,16/3/2024,19/3/2024,"110,7",Kelly,Sales Executive,20,Very Good
"Lexis Suites, Penang",North,Penang,City Hotel,Scott Ward,463028105751,Scott_Ward11@hotmail.com,5,Platinum,Credit Card,Check0Out,BB,C,Individual,Deluxe Room,2,0,Agoda,650,5,200,3.250,10%,325,3.125,300,Refunded,6/12/2024,11/12/2024,"88,2",Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Derrick Bailey,709006600652,Derrick_Bailey@protonmail.com,4,Platinum,Credit Card,Check0Out,BB,H,Corporate,Deluxe Room,3,0,Booking.com,650,10,600,6.500,10%,650,6.450,300,Refunded,15/5/2024,25/5/2024,147,Leo,Sales Manager,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Jessica Cole,179019100924,Jessica_Cole@yahoo.com,5,Gold,Credit Card,Check0Out,BB,C,Family,Single Room,1,1,Booking.com,550,9,360,4.950,5%,248,5.063,300,Refunded,5/1/2024,14/1/2024,107,Amy,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Reginald Russo,765062406051,Russo.Reginald65@comcast.net,5,Platinum,Cash,Check0Out,BB,H,Corporate,Single Room,1,0,Agoda,550,16,320,8.800,10%,880,8.240,300,Refunded,7/12/2024,23/12/2024,147,Leo,Sales Manager,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,William Sanchez,120021507905,William.Sanchez@mail.com,3,N/A,Credit Card,Check0Out,BB,D,Individual,Deluxe Room,2,0,Direct,650,1,40,650,0%,0,690,300,Refunded,25/10/2024,26/10/2024,"117,9",Kelly,Sales Executive,20,Good
"Lexis Suites, Penang",North,Penang,City Hotel,Diane Rose,362019605800,Diane.Rose@protonmail.com,5,N/A,Online Transfer,Check0Out,BB,G,Corporate,Deluxe Room,3,0,Direct,650,13,780,8.450,0%,0,9.230,300,Refunded,11/9/2024,24/9/2024,123,Kelly,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Nathan Smith,689064909029,Nathan_Smith@comcast.net,3,Platinum,Cash,Check0Out,BB,C,Family,Single Room,1,1,Agoda,550,5,200,2.750,10%,275,2.675,300,Refunded,24/4/2024,29/4/2024,98,Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Andrew Bullock,674044302397,AndrewBullock17@hotmail.com,5,Platinum,Cash,Check0Out,BB,G,Corporate,Single Room,1,0,Booking.com,550,9,180,4.950,10%,495,4.635,300,Forfeited,19/9/2024,28/9/2024,"117,81",Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Nancy Mccormick,199042108585,Nancy.M@protonmail.com,5,N/A,Online Transfer,Check0Out,BB,E,Corporate,Single Room,1,0,Agoda,550,13,260,7.150,0%,0,7.410,300,Refunded,22/6/2024,5/7/2024,135,Kelly,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Barbara Cole,152078601085,Barbara.Cole@hotmail.com,4,Gold,Credit Card,Check0Out,BB,F,Individual,Deluxe Room,2,0,Booking.com,650,14,560,9.100,5%,455,9.205,300,Refunded,28/3/2024,11/4/2024,133,Kelly,Sales Executive,20,Very Good
"Lexis Suites, Penang",North,Penang,City Hotel,Sheri Aguilar,333046707388,Aguilar.Sheri22@att.com,5,Platinum,Online Transfer,Check0Out,BB,C,Family,Single Room,1,1,Direct,550,12,480,6.600,10%,660,6.420,300,Refunded,24/11/2024,6/12/2024,"58,95",Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Sandra Graham,141072304259,Sandra_Graham@xfinity.com,5,N/A,Credit Card,Check0Out,HB,A,Corporate,Deluxe Room,3,0,Direct,650,11,660,7.150,0%,0,7.810,300,Refunded,29/4/2024,10/5/2024,"136,33",Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Christopher Cabrera,852061203076,Cabrera.Christopher@yahoo.com,4,Platinum,Credit Card,Check0Out,BB,H,Corporate,Deluxe Room,3,0,Booking.com,650,5,300,3.250,10%,325,3.225,300,Refunded,29/2/2024,5/3/2024,153,Amy,Sales Executive,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Melinda Flores,419044306780,Flores_Melinda@yahoo.com,5,Platinum,Cash,Check0Out,BB,C,Individual,Single Room,2,0,Booking.com,550,11,440,6.050,10%,605,5.885,300,Refunded,25/11/2024,6/12/2024,"110,5",Kelly,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Michael Whitehead,738061802202,Michael.W@mail.com,5,Platinum,Credit Card,Check0Out,BB,D,Family,Deluxe Room,2,1,Agoda,650,12,720,7.800,10%,780,7.740,300,Refunded,24/4/2024,6/5/2024,97,Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Brent Hamilton,304069203370,Brent.Hamilton15@gmail.com,4,Platinum,Cash,Check0Out,BB,A,Corporate,Single Room,1,0,Agoda,550,1,20,550,10%,55,515,300,Refunded,27/2/2024,28/2/2024,"110,3",Amy,Sales Executive,15,Very Good
"Lexis Suites, Penang",North,Penang,City Hotel,Jessica Bradford,207031904187,JBradford@outlook.com,5,Platinum,Credit Card,Check0Out,BB,A,Corporate,Single Room,1,0,Agoda,550,16,320,8.800,10%,880,8.240,300,Refunded,15/3/2024,31/3/2024,82,Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Marissa Robinson,770085507071,MarissaRobinson@mail.com,4,Platinum,Online Transfer,Check0Out,BB,D,Corporate,Deluxe Room,3,0,Direct,650,4,240,2.600,10%,260,2.580,300,Refunded,24/1/2024,28/1/2024,97,Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Jennifer Curry,964072200569,Jennifer_Curry@hotmail.com,5,Gold,Online Transfer,Check0Out,BB,A,Family,Deluxe Room,3,1,Agoda,650,2,160,1.300,5%,65,1.395,300,Refunded,11/7/2024,13/7/2024,"73,8",Kelly,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Teresa Maldonado,623008605362,Maldonado_Teresa95@protonmail.com,5,Gold,Credit Card,Check0Out,HB,A,Corporate,Single Room,1,0,Booking.com,550,12,240,6.600,5%,330,6.510,300,Refunded,26/11/2024,8/12/2024,"91,5",Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Bryan Perez,125011105926,BryanPerez@gmail.com,5,Platinum,Cash,Check0Out,BB,A,Individual,Deluxe Room,2,0,Booking.com,650,11,440,7.150,10%,715,6.875,300,Refunded,28/1/2024,8/2/2024,"114,5",Kelly,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Timothy Horn,308032109169,Timothy.H@yandex.com,4,Platinum,Credit Card,Check0Out,BB,A,Corporate,Deluxe Room,3,0,Direct,650,3,180,1.950,10%,195,1.935,300,Refunded,7/6/2024,10/6/2024,"110,3",Kelly,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Angela Williams,580073709824,Angela.Williams@xfinity.com,4,Gold,Cash,Check0Out,BB,A,Family,Studio,2,2,Booking.com,1.650,7,560,11.550,5%,578,11.533,300,Refunded,13/12/2024,20/12/2024,"90,9",Amy,Sales Executive,25,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Lee Ramirez MD,764098704238,LMD@yahoo.com,3,Gold,Credit Card,Check0Out,BB,E,Corporate,Single Room,1,0,Agoda,550,9,180,4.950,5%,248,4.883,300,Refunded,23/12/2024,1/1/2025,123,Amy,Sales Executive,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Allen Hoffman,387002002239,AHoffman@protonmail.com,5,Platinum,Online Transfer,Check0Out,BB,A,Corporate,Deluxe Room,3,0,Booking.com,650,3,180,1.950,10%,195,1.935,300,Refunded,19/2/2024,22/2/2024,122,Amy,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Michael Yu,648095308540,Michael_Yu59@comcast.net,5,Platinum,Credit Card,Check0Out,BB,A,Corporate,Single Room,1,0,Direct,550,3,60,1.650,10%,165,1.545,300,Refunded,9/5/2024,12/5/2024,"110,7",Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Anthony Moss,963068001077,Anthony_Moss18@yandex.com,4,Platinum,Credit Card,Check0Out,BB,D,Family,Deluxe Room,2,1,Booking.com,650,4,240,2.600,10%,260,2.580,300,Refunded,1/11/2024,5/11/2024,"85,86",Amy,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Tony Olson,177035901844,Tony_O@outlook.com,5,Gold,Credit Card,Check0Out,BB,A,Corporate,Deluxe Room,3,0,Direct,650,14,840,9.100,5%,455,9.485,300,Refunded,20/4/2024,4/5/2024,"58,95",Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Clayton Cowan,504074302620,Clayton.Cowan31@protonmail.com,5,Platinum,Online Transfer,Check0Out,BB,A,Corporate,Deluxe Room,3,0,Agoda,650,10,600,6.500,10%,650,6.450,300,Refunded,1/10/2024,11/10/2024,"55,68",Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Mrs. Debra Jackson DDS,307063106954,DDS_Mrs.@att.com,4,Gold,Cash,Check0Out,BB,A,Corporate,Single Room,1,0,Direct,550,12,240,6.600,5%,330,6.510,300,Refunded,16/7/2024,28/7/2024,"55,68",Kelly,Sales Executive,15,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Raymond Young,699064207831,Young.Raymond92@verizon.com,4,Platinum,Credit Card,Check0Out,HB,A,Family,Royal Suite,4,2,Agoda,1.800,4,480,7.200,10%,720,6.960,300,Refunded,20/8/2024,24/8/2024,124,Leo,Sales Manager,30,Very Good
